realm,cluster,n_taxa,n_edge,mean_edge,n_lc,n_nt,n_vu,n_en,n_cr,n_hydro,area_km2,bio1_mean,bio1_median,bio1_sd,bio1_min,bio1_max,bio4_mean,bio4_median,bio4_sd,bio4_min,bio4_max,bio12_mean,bio12_median,bio12_sd,bio12_min,bio12_max,end_per,end_km2,No_end_km2,neoend_per,neoend_km2,paleoend_per,paleoend_km2,mixedend_per,mixedend_km2,superend_per,superend_km2
PALE,1,11,5,3.206648639,2,3,3,1,1,440,4229641.1,159.2059573,167,50.5150817,-16,275,7414.40212,7653,1398.796721,1722,10181,409.9378103,281.5,461.0135948,2,3414,0.119008348,503362.6,3726278.5,0,0,0,0,0.119008348,503362.6,0,0
SSAF,2,14,6,3.140575616,6,0,3,2,0,66,513974.3,235.9051948,232,40.63858487,92,308,2016.408442,1993,1286.78217,201,4546,720.1694805,693,528.2169984,21,2113,0,0,513974.3,0,0,0,0,0,0,0,0
SSAF,3,32,15,3.178976345,12,1,6,4,1,571,4431976.3,220.1217844,216,33.24607568,54,312,2590.774796,2572.5,1443.354905,209,6351,527.0101115,447,347.1654503,10,2093,0.056942385,252367.3,4179609,0,0,0,0,0.056942385,252367.3,0,0
SSAF,4,20,10,3.358165463,4,0,5,2,2,146,1361591.6,261.3526164,270,30.0742379,70,303,3653.280605,3943,1995.88028,528,6618,221.2421988,77,309.1641198,0,1647,0.000198371,270.1,1361321.5,0,0,0,0,0.000198371,270.1,0,0
SSAF,5,13,5,3.239752413,6,0,2,1,1,190,1494474.6,229.9050549,235,23.2327012,132,275,2253.309011,2316,545.3591268,841,3836,1099.418681,1041,411.0886307,384,3205,0,0,1494474.6,0,0,0,0,0,0,0,0
SSAF,6,9,5,3.685382139,3,0,0,0,3,12,90466.1,235.1971326,238,10.59560071,169,253,2715.168459,2796,324.536909,1557,3145,681.5806452,625,302.4937596,374,2539,0.853771744,77237.4,13228.7,0,0,0,0,0,0,0.853771744,77237.4
SSAF,7,17,9,3.305770472,7,0,3,2,1,253,2590944.7,218.0797459,216,16.7831144,135,275,1770.772822,1744.5,1009.167048,214,4417,1135.370202,1137,283.3264767,412,2088,0,0,2590944.7,0,0,0,0,0,0,0,0
SSAF,8,15,5,3.081670566,5,1,1,0,1,127,864353.7,163.7887517,166,18.96979518,74,223,4503.354938,4702,921.0576361,1551,6408,431.4502743,413,224.5123626,45,1141,0.185594277,160419.1,703934.6,0,0,0,0,0.17390404,150314.6,0.011690237,10104.5
SSAF,9,26,13,3.208181153,11,1,5,1,2,418,3822730.4,244.6223076,247,16.60861444,83,284,925.6316025,757,551.6534847,116,3371,1534.838502,1621,447.1870656,31,3795,0,0,3822730.4,0,0,0,0,0,0,0,0
SSAF,10,14,9,3.282203272,5,0,4,2,1,122,912127,269.7790179,274,14.31511412,163,298,1812.268601,1459,890.5036009,569,4778,802.2228423,822,367.4324242,42,1920,0,0,912127,0,0,0,0,0,0,0,0
SSAF,11,16,9,3.300375808,5,1,3,2,2,298,2295685.6,264.2734375,266,13.66295588,175,303,1539.528007,1474,533.3845331,517,3239,1372.221846,1220,591.0376594,339,4208,0,0,2295685.6,0,0,0,0,0,0,0,0
SSAF,12,12,7,3.288715002,3,0,4,1,1,441,3496743.8,278.7070927,279,12.37669467,168,306,3409.409918,3217,1128.955697,1081,6674,355.2896833,253,306.1826827,1,1512,0,0,3496743.8,0,0,0,0,0,0,0,0
SSAF,13,5,4,3.608413502,0,0,3,1,1,2,6618.5,286,287,3.070597894,278,290,3638.136364,3645,136.1757602,3422,3845,106.9545455,105,12.4803742,88,132,0,0,6618.5,0,0,0,0,0,0,0,0
SSAF,14,9,5,3.413902281,2,0,2,0,4,29,269823.4,244.5243309,252,22.81159965,144,274,1804.776156,1786.5,392.3077398,889,2853,1399.217762,1466.5,264.1887682,578,2108,1,269823.4,0,0,0,0.770177086,207811.8,0,0,0.229822914,62011.6
PALE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,279.5,0,0,0,0,0,0,0,1,279.5
