order,suborder,superfamily,superfamily_clade,family,subfamily_clade,genus,clade,taxon
testudines,cryptodira,cheldonioidea,cheldonioidea_sub,cheloniidae,cheloniidae_sub,caretta,caretta_clade,caretta caretta
testudines,cryptodira,cheldonioidea,cheldonioidea_sub,cheloniidae,cheloniidae_sub,chelonia,chelonia_clade,chelonia mydas
testudines,cryptodira,cheldonioidea,cheldonioidea_sub,cheloniidae,cheloniidae_sub,eretmochelys,eretmochelys_clade,eretmochelys imbricata
testudines,cryptodira,cheldonioidea,cheldonioidea_sub,cheloniidae,cheloniidae_sub,lepidochelys,lepidochelys_clade,lepidochelys olivacea
testudines,cryptodira,cheldonioidea,cheldonioidea_sub,dermochelyidae,dermochelyinae,dermochelys,dermochelys_clade,dermochelys coriacea
testudines,cryptodira,chelydroidea,chelydroidea_sub,chelydridae,chelydridae_sub,chelydra,chelydra_clade,chelydra acutirostris
testudines,cryptodira,chelydroidea,chelydroidea_sub,chelydridae,chelydridae_sub,chelydra,chelydra_clade,chelydra rossignonii
testudines,cryptodira,chelydroidea,chelydroidea_sub,chelydridae,chelydridae_sub,chelydra,chelydra_clade,chelydra serpentina
testudines,cryptodira,chelydroidea,chelydroidea_sub,chelydridae,chelydridae_sub,macrochelys,macrochelys_clade,macrochelys suwanniensis
testudines,cryptodira,chelydroidea,chelydroidea_sub,chelydridae,chelydridae_sub,macrochelys,macrochelys_clade,macrochelys temminckii
testudines,cryptodira,chelydroidea,kinosternoidea,dermatemydidae,dermatemydidae_sub,dermatemys,dermatemys_clade,dermatemys mawii
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon arizonense
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon baurii
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon chimalhuaca
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon durangoense
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon flavescens
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon steindachneri
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon stejnegeri
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_clade,kinosternon subrubrum
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_acuta_clade,kinosternon acuta
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_acuta_clade,kinosternon angustipons
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_acuta_clade,kinosternon creaseri
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_leuco,kinosternon dunni
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_acuta_clade,kinosternon herrerai
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_leuco,kinosternon leucostomum
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon abaxillare
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon integrum
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon scorpioides
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon alamosae
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon hirtipes
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon oaxacae
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,kinosternon,kinosternon_scorpoides_clade,kinosternon sonoriense
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,sternotherus,sternotherus_clade,sternotherus carinatus
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,sternotherus,sternotherus_clade,sternotherus depressus
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,sternotherus,sternotherus_clade,sternotherus minor
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,kinosterninae,sternotherus,sternotherus_clade,sternotherus odoratus
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,staurotypinae,claudius,claudius_clade,claudius angustatus
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,staurotypinae,staurotypus,staurotypus_clade,staurotypus salvinii
testudines,cryptodira,chelydroidea,kinosternoidea,kinosternidae,staurotypinae,staurotypus,staurotypus_clade,staurotypus triporcatus
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,chrysemys,chrysemys_clade,chrysemys dorsalis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,chrysemys,chrysemys_clade,chrysemys picta
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,deirochelys,deirochelys_clade,deirochelys chrysea
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,deirochelys,deirochelys_clade,deirochelys reticularia
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys barbouri
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys caglei
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys ernsti
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys flavimaculata
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys geographica
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys gibbonsi
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys nigrinoda
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys oculifera
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys pearlensis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys pseudogeographica
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys pulchra
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys versa
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys ouachitensis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,graptemys,graptemys_clade,graptemys sabinensis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,malaclemys,malaclemys_clade,malaclemys terrapin
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys alabamensis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys concinna
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys concinna suwanniensis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys floridana
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys gorzugi
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys nelsoni
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys peninsularis
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys rubriventris
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,pseudemys,pseudemys_clade,pseudemys texana
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys adiutrix
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys callirostris
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys decorata
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys decussata
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys dorbigni
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys emolli
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys gaigeae
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys grayi
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys medemi
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys nebulosa
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys ornata
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys scripta
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys scripta elegans
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys scripta scripta
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys stejnegeri
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys taylori
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys terrapen
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys venusta
testudines,cryptodira,testudinoidea,emysternia,emydidae,deirochelyinae,trachemys,trachemys_clade,trachemys yaquia
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,actinemys,actinemys_clade,actinemys marmorata
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,actinemys,actinemys_clade,actinemys pallida
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,clemmys,clemmys_clade,clemmys guttata
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,emys_a,emys_a_clade,emys blandingii
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,emys_b,emys_b_clade,emys marmorata
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,emys_a,emys_a_clade,emys orbicularis
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,emys_b,emys_b_clade,emys pallida
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,emys_a,emys_a_clade,emys trinacris
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,glyptemys,glyptemys_clade,glyptemys insculpta
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,glyptemys,glyptemys_clade,glyptemys muhlenbergii
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene carolina
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene coahuila
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene mexicana
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene nelsoni
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene ornata
testudines,cryptodira,testudinoidea,emysternia,emydidae,emydinae,terrapene,terrapene_clade,terrapene yucatana
testudines,cryptodira,testudinoidea,emysternia,platysternidae,platysternidae_sub,platysternon,platysternon_clade,platysternon megacephalum
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur affinis
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur baska
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur borneoensis
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur dhongoka
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur kachuga
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae_a,batagur,batagur_clade,batagur trivittata
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora amboinensis
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora aurocapitata
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora bourreti
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora flavomarginata
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora galbinifrons
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora mouhotii
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora pani
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora picturata
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora yunnanensis
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora zhoui
testudines,cryptodira,testudinoidea,testuguria,geoemydidae,geoemydinae,cuora,cuora_clade,cuora cyclornata
