Tree_name,replacement_name
Acanthochelys_pallidipectoris_HBS121003,Acanthochelys_pallidipectoris
Acanthochelys_spixii_HBS121001,Acanthochelys_spixii
Aldabrachelys_gigantea_HBS118599,Aldabrachelys_gigantea
Aldabrachelys_sp_HBS121013,Aldabrachelys_sp
Amyda_cartilaginea_FMNH258869,Amyda_cartilaginea
Apalone_ferox_CAS202549,Apalone_ferox
Apalone_mutica_HBS108560,Apalone_mutica
Apalone_spinifera_HBS23197,Apalone_spinifera
Astrochelys_radiata_HBS117743,Astrochelys_radiata
Astrochelys_yniphora_HBS119036,Astrochelys_yniphora
Batagur_baska_AMCC166654,Batagur_baska
Batagur_borneoensis_HBS112448,Batagur_borneoensis
Batagur_dhongoka_AMNH166661,Batagur_dhongoka
Batagur_kachuga_FMNH224128,Batagur_kachuga
Batagur_trivittata_HBS112440,Batagur_trivittata
Caretta_caretta_HBS112700,Caretta_caretta
Carettochelys_insculpta_HBS119093,Carettochelys_insculpta
Chelodina_burrungandjii_000670M,Chelodina_burrungandjii
Chelodina_canni_657,Chelodina_canni
Chelodina_colliei_231,Chelodina_colliei
Chelodina_expansa_AMR125066,Chelodina_expansa
Chelodina_gunaleni_LACM183224,Chelodina_gunaleni
Chelodina_longicollis_AMR123050,Chelodina_longicollis
Chelodina_mccordi_493,Chelodina_mccordi
Chelodina_novaeguineae_429,Chelodina_novaeguineae
Chelodina_parkeri_AA042607,Chelodina_parkeri
Chelodina_pritchardi_AA21811,Chelodina_pritchardi
Chelodina_reimanni_451,Chelodina_reimanni
Chelodina_rugosa_HBS32056,Chelodina_rugosa
Chelodina_steindachneri_ANWCR5058,Chelodina_steindachneri
Chelodina_timorensis_AMNH167209,Chelodina_timorensis
Chelonia_mydas_HBS109887,Chelonia_mydas
Chelonoidis_abingdoni_HBS117543,Chelonoidis_abingdonii
Chelonoidis_carbonaria_HBS117901,Chelonoidis_carbonaria
Chelonoidis_chathamensis_HBS117534,Chelonoidis_chathamensis
Chelonoidis_chilensis_HBS124031,Chelonoidis_chilensis
Chelonoidis_denticulata_MVZ175382,Chelonoidis_denticulata
Chelonoidis_ephyppium_HBS117540,Chelonoidis_ephyppium
Chelonoidis_hoodensis_HBS117531,Chelonoidis_hoodensis
Chelonoidis_porteri_HBS117537,Chelonoidis_porteri
Chelus_fimbriatus_HBS32240,Chelus_fimbriatus
Chelydra_acutirostris_HBS29330,Chelydra_acutirostris
Chelydra_rossignonii_HBS29331,Chelydra_rossignonii
Chelydra_serpentina_HBS23551,Chelydra_serpentina
Chersina_angulata_HBS112643,Chersina_angulata
Chitra_chitra_HBS125606,Chitra_chitra
Chitra_indica_HBS125613,Chitra_indica
Chitra_vandijki_HBS125628,Chitra_vandijki
Chrysemys_dorsalis_HBS118632,Chrysemys_dorsalis
Chrysemys_picta_HBS27134,Chrysemys_picta
Claudius_angustatus_HBS121589,Claudius_angustatus
Clemmys_guttata_FMNH265273,Clemmys_guttata
Cuora_amboinensis_FMNH255262,Cuora_amboinensis
Cuora_aurocapitata_FMNH261570,Cuora_aurocapitata
Cuora_bourreti_FMNH261574,Cuora_bourreti
Cuora_flavomarginata_HBS41895,Cuora_flavomarginata
Cuora_galbinifrons_FMNH255694,Cuora_galbinifrons
Cuora_mccordi_HBS41892,Cuora_mccordi
Cuora_mouhotii_HBS41865,Cuora_mouhotii
Cuora_pani_HBS117865,Cuora_pani
Cuora_picturata_FMNH261575,Cuora_picturata
Cuora_trifasciata_KFBG030278065,Cuora_trifasciata
Cuora_yunnanensis_KIZPG1,Cuora_yunnanensis
Cuora_zhoui_HBS41855,Cuora_zhoui
Cyclanorbis_senegalensis_HBS16390,Cyclanorbis_senegalensis
Cyclemys_atripons_FMNH262710,Cyclemys_atripons
Cyclemys_dentata_HBS117903,Cyclemys_dentata
Cyclemys_fusca_CAS210070,Cyclemys_fusca
Cyclemys_oldhami_USNMFS35571,Cyclemys_oldhami
Cyclemys_pulchristriata_FMNH259050,Cyclemys_pulchristriata
Cyclemys_sp_CAS208423,Cyclemys_sp
Cyclemys_sp_FMNH267458,Cyclemys_sp_2
Cycloderma_aubryi_FMNH98752,Cycloderma_aubryi
Cycloderma_frenatum_HBS117691,Cycloderma_frenatum
Deirochelys_rchrysea_HBS108680,Deirochelys_reticularia
Dermatemys_mawii_HBS116865,Dermatemys_mawii
Dermochelys_coriacea_MVZ149847,Dermochelys_coriacea
Dogania_subplana_USNM572079,Dogania_subplana
Elseya_albagula_AMR123067,Elseya_albagula
Elseya_branderhorsti_AA42626,Elseya_branderhorsti
Elseya_ddentata_261,Elseya_dentata
Elseya_irwini_AA37087,Elseya_irwini
Elseya_lavarackorum_321,Elseya_lavarackorum
Elseya_novaeguineae_AA036553,Elseya_novaeguineae
Elseya_Sth_Alligator_213,Elseya_Sth_Alligator
Elusor_macrurus_253,Elusor_macrurus
Emydura_macquarii_HBS40172,Emydura_macquarii
Emydura_subglobosa_244,Emydura_subglobosa
Emydura_tanybaraga_AMR125469,Emydura_tanybaraga
Emydura_victoriae_674,Emydura_victoriae
Emys_blandingii_HBS116243,Emys_blandingii
Emys_marmorata_HBS39734,Emys_marmorata
Emys_orbicularis_HBS108690,Emys_orbicularis
Emys_pallida_HBS115911,Emys_pallida
Emys_trinacris_IPMB4706,Emys_trinacris
Eretmocelys_imbricata_HBS112685,Eretmochelys_imbricata
Erymnochelys_madagascariensis_HBS103217,Erymnochelys_madagascariensis
Geochelone_elegans_MVZ244882,Geochelone_elegans
Geochelone_platynota_HBS119441,Geochelone_platynota
Geochelone_sulcata_AMCC111025,Centrochelys_sulcata
Geoclemys_hamiltonii_HBS108665,Geoclemys_hamiltonii
Geoemyda_japonica_AMNH166658,Geoemyda_japonica
Geoemyda_spengleri_AMNH106625,Geoemyda_spengleri
Glyptemys_insculpta_HBS108711,Glyptemys_insculpta
Glyptemys_muhlenbergii_HBS108716,Glyptemys_muhlenbergii
Gopherus_agassizii_GOAG01,Gopherus_agassizii
Gopherus_berlandieri_GOBE01,Gopherus_berlandieri
Gopherus_flavomarginatus_GOFL01,Gopherus_flavomarginatus
Gopherus_morafkai_GOAG03,Gopherus_morafkai
Gopherus_morafkai_Sinaloa_LC02,Gopherus_morafkai
Gopherus_polyphemus_HBS108684,Gopherus_polyphemus
Graptemys_barbouri_RCT277,Graptemys_barbouri
Graptemys_caglei_RCT431,Graptemys_caglei
Graptemys_ernsti_RCT276,Graptemys_ernsti
Graptemys_flavimaculata_RCT140,Graptemys_flavimaculata
Graptemys_geographica_RCT396,Graptemys_geographica
Graptemys_gibbonsi_RCT170,Graptemys_gibbonsi
Graptemys_ndelticola_RCT291,Graptemys_nigrinoda
Graptemys_oculifera_RCT26,Graptemys_oculifera
Graptemys_oouachitensis_RCT406,Graptemys_ouachitensis
Graptemys_pearlensis_RCT242,Graptemys_pearlensis
Graptemys_ppseudogeographica_RCT379,Graptemys_pseudogeographica
Graptemys_pulchra_RCT258,Graptemys_pulchra
Graptemys_versa_RCT327,Graptemys_versa
Hardella_thurjii_AMNH125654,Hardella_thurjii
Heosemys_annandalii_FMNH259074,Heosemys_annandalii
Heosemys_depressa_HBS112432,Heosemys_depressa
Heosemys_grandis_HBS108666,Heosemys_grandis
Heosemys_spinosa_HBS109889,Heosemys_spinosa
Hompous_areolatus_HBS124034,Hompous_areolatus
Hompous_boulengeri_AMCC106886,Hompous_boulengeri
Hompous_signatus_HBS122118,Hompous_signatus
Hydromedusa_tectifera_DZ10401,Hydromedusa_tectifera
Indotestudo_elongata_FMNH259056,Indotestudo_elongata
Indotestudo_forstenii_HBS108628,Indotestudo_forstenii
Indotestudo_travancorica_AMCC142999,Indotestudo_travancorica
Kinixys_belliana_HBS112791,Kinixys_belliana
Kinixys_erosa_HBS124036,Kinixys_erosa
Kinixys_homeana_HBS125085,Kinixys_homeana
Kinixys_speckii_HBS112790,Kinixys_speckii
Kinixys_zombensis_HBS117690,Kinixys_zombensis
Kinosternon_acuta_HBS117455,Kinosternon_acuta
Kinosternon_arizonense_CAS228101,Kinosternon_arizonense
Kinosternon_baurii_HBS108574,Kinosternon_baurii
Kinosternon_chimalhuaca_HBS120895,Kinosternon_chimalhuaca
Kinosternon_creaseri_K35,Kinosternon_creaseri
Kinosternon_dunni_K38,Kinosternon_dunni
Kinosternon_durangoense_UF108889,Kinosternon_durangoense
Kinosternon_flavescens_HBS107613,Kinosternon_flavescens
Kinosternon_herrerai_AMNH118236,Kinosternon_herrerai
Kinosternon_hirtipes_5L5L2R,Kinosternon_hirtipes
Kinosternon_integrum_JAC21644,Kinosternon_integrum
Kinosternon_leucostomum_USNM559573,Kinosternon_leucostomum
Kinosternon_oaxacae_HBS120899,Kinosternon_oaxacae
Kinosternon_scorpioides_cruentatum_HBS119039,Kinosternon_scorpioides
Kinosternon_sonoriense_HBS119037,Kinosternon_sonoriense
Kinosternon_subrubrum_HBS119499,Kinosternon_subrubrum
Lepidochelys_olivacea_HBS125086,Lepidochelys_olivacea
Leucocephalon_yuwonoi_HBS118604,Leucocephalon_yuwonoi
Lissemys_punctata_HBS125629,Lissemys_punctata
Lissemys_scutata_USNM520643,Lissemys_scutata
Macrochelys_temminckii_HBS108582,Macrochelys_temminckii
