taxon,Order,Family,genus,clade,IUCN,TFTSG,Threat,Threat_Code,EDGE_scores,edge_species,TACT-addition
emys trinacris,Testudines,Emydidae,Emys,Emys_clade,Data Deficient,Not Evaluated,,,Not Calculated,NA,
terrapene nelsoni,Testudines,Emydidae,Terrapene,Terrapene_clade,Data Deficient,Data Deficient,,,Not Calculated,NA,
pelusios upembae,Testudines,Pelomedusidae,Pelusios,Pelusios_clade,Data Deficient,Data Deficient,,,Not Calculated,NA,X
chelonoidis nigra,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Extinct,,,,Not Calculated,NA,X
chelonoidis abingdonii,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Extinct,,,,Not Calculated,NA,
podocnemis expansa,Testudines,Podocnemididae,Podocnemis,Podocnemis_clade,Lower Risk/conservation dependent,,,,Not Calculated,NA,
chelodina gunaleni,Testudines,Chelidae,Chelodina,Chelodina_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
chelodina kuchlingi,Testudines,Chelidae,Chelodina,Chelodina_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,X
elseya lavarackorum,Testudines,Chelidae,Elseya,Elseya_pelocomastes_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
mesoclemmys heliostemma,Testudines,Chelidae,Mesoclemmys,Mesoclemmys_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,X
mesoclemmys nasuta,Testudines,Chelidae,Mesoclemmys,Mesoclemmys_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
trachemys grayi,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
trachemys nebulosa,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
trachemys venusta,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Data Deficient,,,Not Calculated,NA,
